"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2017-09-08,599.6,605,597.15,598.2,600.5,461168,2769.02
2017-09-11,603.05,606.6,598.65,599.05,599.8,373444,2247.5
2017-09-12,599.95,602.2,595.7,596.95,596.8,660539,3952.41
2017-09-13,596.8,603,592,594.95,593.75,575453,3440.42
2017-09-14,594,601.5,593.7,600,599.75,527164,3160.94
2017-09-15,601,629,600,614,615.75,3299237,20306.44
2017-09-18,620,636,610.1,627.75,628.55,2364253,14776.95
2017-09-19,627,652.9,627,646.55,646.55,2900241,18718.45
2017-09-20,646.9,650.45,632.65,635.05,634.8,651926,4156.58
2017-09-21,645,651.2,631,644.4,645.75,1772265,11344.37
2017-09-22,643.3,646.7,631.2,635.8,633.75,1065572,6804.49
2017-09-25,630,630,605.5,618.8,619.8,1569995,9704.51
2017-09-26,616,616.95,602.95,605.8,606.15,624926,3813.71
2017-09-27,607.25,608.35,584.2,587,587.8,541668,3234.77
2017-09-28,589,598.55,580.25,582.7,583.9,804578,4737.45
2017-09-29,586,610.3,582.95,591,590.9,1381868,8231.01
2017-10-03,597,603.5,589.9,596.05,600,481839,2880.35
2017-10-04,598,598.55,591.65,594,593.8,290457,1728.97
2017-10-05,592.15,595.25,585,587.55,587.9,343040,2021.53
2017-10-06,588,599.85,587.9,593.1,595.5,574361,3419.32
2017-10-09,592.55,599.95,589.6,598.4,597.35,383055,2276.25
2017-10-10,599.9,604,591.4,592.8,593.1,254762,1519.04
2017-10-11,593.6,601.7,587,590,590.9,1515744,9041.45
2017-10-12,592,596.55,590.05,590.45,591.45,225579,1337.6
2017-10-13,592,596.15,581.4,582.1,584,498728,2929.6
2017-10-16,584,589.2,567.25,577,580.05,597026,3446.01
2017-10-17,580.7,594.8,573.1,575.65,575.75,1215791,7094.69
2017-10-18,576,576.75,565.55,568.1,567.7,281749,1607.72
2017-10-19,568.6,569.85,557.55,562.5,561.3,60241,339.6
2017-10-23,566.65,577.95,564.05,575.55,575.65,531612,3035.5
2017-10-24,579,583,570.7,571.8,572.9,328474,1892.59
2017-10-25,575,578,557.1,575.5,574.95,486498,2771.49
2017-10-26,573.4,581.5,563.55,576,573.9,591087,3386.16
2017-10-27,578.5,581.5,552.95,555,555,556260,3140.88
2017-10-30,556.05,590.95,556.05,582.5,581.5,1094798,6325.27
2017-10-31,583.5,593.5,575,584.4,587,470384,2750.55
2017-11-01,587,590.05,572.85,575,578.55,315471,1827.49
2017-11-02,575.5,587,573.55,584.7,581.2,339881,1966.33
2017-11-03,584.2,585,567.5,568,569.5,416429,2400.17
2017-11-06,569.5,574,562.25,563.4,567.25,318028,1799.75
2017-11-07,567.5,567.6,546,548.1,551.8,814253,4525.53
2017-11-08,558.5,558.5,540.95,545.9,544.7,545387,3003.95
2017-11-09,547.5,555,543.65,553.75,550.55,418421,2297.02
2017-11-10,550.55,565.9,547.95,555.7,556.2,502943,2808.32
2017-11-13,560,572.5,550.2,563,562.4,1366453,7673.06
2017-11-14,560,569.9,551.25,563.45,564.6,376777,2113.74
2017-11-15,563.4,563.4,548.65,550.05,550.85,320045,1769.76
2017-11-16,552,555.7,541.7,550,546.3,653440,3572.28
2017-11-17,552.55,578.05,552,567.9,572.35,1121729,6384.13
2017-11-20,567.6,571.05,563.1,564.8,565.3,363850,2061.18
2017-11-21,564.9,587.5,563.6,575.5,575.65,948092,5465.88
2017-11-22,577.9,588.65,576.3,583,585.55,712948,4142.59
