STOCK,SECTOR
IBULHSGFIN.NS,FINANCE - HOUSING
INDIACEM.NS,Cement
JPASSOCIAT.NS,INFRASTRUCTURE - GENERAL
MFSL.NS,FINANCE - INVESTMENTS
MOTHERSUMI.NS,AUTO ANCILLARIES
FORTIS.NS,Hospitals & Medical Services
GODFRYPHLP.NS,CIGARETTES 
GSFC.NS,CHEMICALS
KTKBANK.NS,BANKS - PRIVATE SECTOR
HCLTECH.NS,Computers - Software
IBREALEST.NS,CONSTRUCTION & CONTRACTING - REAL ESTATE
M.M.NS,AUTO
IDFC.NS,BANKS - PRIVATE SECTOR
IFCI.NS,BANKS - PUBLIC SECTOR
NCC.NS,CONSTRUCTION & CONTRACTING - REAL ESTATE
NTPC.NS,POWER - GENERATION & DISTRIBUTION
IRB.NS,INFRASTRUCTURE - GENERAL
RCOM.NS,TELECOM
RELCAPITAL.NS,FINANCE - INVESTMENTS
SUNTV.NS,MEDIA & ENTERTAINMENT 
TCS.NS,Computers - Software
M.MFIN.NS,FINANCE - LEASING & HIRE PURCHASE
MGL.NS,REFINERIES
GAIL.NS,OIL DRILLING
NIITTECH.NS,Computers - Software
OIL.NS,OIL DRILLING
MRPL.NS,REFINERIES
PEL.NS,Pharmaceuticals
PFC.NS,BANKS - PUBLIC SECTOR
MUTHOOTFIN.NS,FINANCE - INVESTMENTS
PIDILITIND.NS,CHEMICALS
ONGC.NS,OIL DRILLING
PNB.NS,BANKS - PUBLIC SECTOR
PVR.NS,MEDIA & ENTERTAINMENT 
RNAVAL.NS,SHIPPING
SAIL.NS,STEEL
SBIN.NS,BANKS - PUBLIC SECTOR
SHREECEM.NS,Cement
RELINFRA.NS,POWER - GENERATION & DISTRIBUTION
RAYMOND.NS,Textiles
SIEMENS.NS,INFRASTRUCTURE - GENERAL
SOUTHBANK.NS,BANKS - PUBLIC SECTOR
SRF.NS,Textiles
SRTRANSFIN.NS,FINANCE - LEASING & HIRE PURCHASE
SUNPHARMA.NS,Pharmaceuticals
TATAGLOBAL.NS,Food Processing
TATAMOTORS.NS,AUTO - LCVS & HCVS
TATAMTRDVR.NS,AUTO - LCVS & HCVS
UNIONBANK.NS,BANKS - PUBLIC SECTOR
VEDL.NS,MINING
STAR.NS,Pharmaceuticals
UJJIVAN.NS,FINANCE - GENERAL
ESCORTS.NS,AUTO - LCVS & HCVS
UBL.NS,BREWERIES & DISTILLERIES
UPL.NS,CHEMICALS
WIPRO.NS,Computers - Software
BALKRISIND.NS,TYRES
CANFINHOME.NS,FINANCE - HOUSING
IDFCBANK.NS,BANKS - PUBLIC SECTOR
KPIT.NS,Computers - Software
TATAPOWER.NS,POWER - GENERATION & DISTRIBUTION
GMRINFRA.NS,INFRASTRUCTURE - GENERAL
LUPIN.NS,Pharmaceuticals
BEL.NS,ELECTRIC EQUIPMENT
LICHSGFIN.NS,FINANCE - HOUSING
ADANIPOWER.NS,POWER - GENERATION & DISTRIBUTION
TECHM.NS,Computers - Software
MCX.NS,MISC
NBCC.NS,INFRASTRUCTURE - GENERAL
PCJEWELLER.NS,MISC
BERGEPAINT.NS,PAINTS
NESTLEIND.NS,Food Processing
VGUARD.NS,ELECTRIC EQUIPMENT
NHPC.NS,POWER - GENERATION & DISTRIBUTION
SUZLON.NS,POWER - GENERATION & DISTRIBUTION
