"","pair","perc_profitability","avg_profit","total_profit","avg_holding","count"
"517","NTPC.NS-RELINFRA.NS",0.444444444444444,-15190.4632057044,-136714.168851339,20.5555555555556,9
"518","NTPC.NS-RPOWER.NS",0.5,-28800.6140181137,-172803.684108682,46.5,6
"519","NTPC.NS-SUZLON.NS",0.666666666666667,-2038.41619288864,-12230.4971573318,42.3333333333333,6
"520","NTPC.NS-TATAPOWER.NS",0.555555555555556,3962.85041619988,71331.3074915978,35.2222222222222,18
"521","NTPC.NS-TORNTPOWER.NS",0.545454545454545,20334.3820892686,223678.202981954,29.3636363636364,11
"522","OFSS.NS-TATAELXSI.NS",0.5,-15409.7189158194,-154097.189158194,27.8,10
"523","OFSS.NS-TCS.NS",0.782608695652174,17958.0860107223,413035.978246614,28.8695652173913,23
"524","OFSS.NS-TECHM.NS",0.615384615384615,-12582.5501666093,-163573.15216592,26.4615384615385,13
"525","OFSS.NS-WIPRO.NS",0.6875,6806.18221422418,108898.915427587,18.6875,16
"526","OIL.NS-ONGC.NS",0.838709677419355,21099.1198834105,654072.716385725,36.9677419354839,31
"527","OIL.NS-PETRONET.NS",0.578947368421053,-18455.5334595033,-350655.135730563,41.0526315789474,19
"528","ONGC.NS-PETRONET.NS",0.678571428571429,10008.5592876376,280239.660053854,23.25,28
"529","ORIENTBANK.NS-PFC.NS",0.7,6556.11196938747,131122.239387749,58.65,20
"530","ORIENTBANK.NS-PNB.NS",0.333333333333333,-54665.2085625376,-491986.877062838,54.2222222222222,9
"531","ORIENTBANK.NS-RECLTD.NS",0.823529411764706,46023.6899482944,782402.729121006,22,17
"532","ORIENTBANK.NS-SBIN.NS",0.333333333333333,-57898.6594083524,-347391.956450115,92.3333333333333,6
"533","ORIENTBANK.NS-SOUTHBANK.NS",0.714285714285714,13691.6546518937,95841.5825632556,33,7
"534","ORIENTBANK.NS-SYNDIBANK.NS",0.555555555555556,-10280.3712187863,-92523.3409690771,22.1111111111111,9
