"Stock","Avg","Stdev","Sharpe","Sortino","Pos","Neg"
"CNX_NIFTY.NS",0.193830383022126,0.133491627900319,0.929150098142978,1.10307727128994,6,5
"NIFTY_BANK.NS",0.17445435709625,0.162279163767353,0.644924035897869,0.500472076470789,8,3
"NIFTY_IT.NS",0.429189304434119,0.160376102348987,2.24093661906549,3.93813851355706,8,3
"NIFTY_INFRA.NS",-0.00243955373727979,0.172351315350381,-0.419121707587235,-0.442387509724869,5,6
"NIFTY_PSE.NS",-0.104042103710299,0.167119512922225,-1.04020604493072,-0.976663427272717,4,7
"NIFTY_CPSE.NS",-0.0679870324188609,0.189084671548155,-0.728687604066569,-0.597594680150071,6,5
"NIFTY_MIDCAP_50.NS",0.138367674907413,0.208353143712805,0.329109750053273,0.35960399245898,6,5
"OFSS.NS",0.147297618775847,0.259555581146768,0.298591132489442,0.34157162336093,6,5
"ACC.NS",-0.000393949795146778,0.296425748784045,-0.236789732134777,-0.240722763448997,5,6
"ADANIENT.NS",0.723357396322635,0.771122935927494,0.84754420082093,1.23225953849058,6,5
"AJANTPHARM.NS",0.123437294609799,0.463397526387584,0.115755194402259,0.0978081467761744,6,5
"ALBK.NS",-0.470520356521219,0.385984785332262,-1.39984009969041,-1.40835264498277,2,9
"AMARAJABAT.NS",0.198195159408448,0.265361058692269,0.483863518573273,0.578294650589875,6,5
"ANDHRABANK.NS",-0.546592822223487,0.307930030466285,-2.00171917349988,-1.91155067943372,2,9
"APOLLOHOSP.NS",0.177613547742431,0.367719771751806,0.293204043316781,0.280972254651194,7,4
"ARVIND.NS",0.0821174172824231,0.255906684859056,0.0481456489967459,0.0409005140249287,7,4
"AUROPHARMA.NS",0.0369848423995728,0.376138964416325,-0.0872331360528446,-0.109095940649,4,7
"AXISBANK.NS",0.265172925736564,0.259662683614246,0.752423487117372,0.663708218366381,8,3
"BAJFINANCE.NS",0.482882220397627,0.23439848451456,1.76232195952909,2.97109410218271,7,4
"BANKBARODA.NS",0.115374703742912,0.488502929133649,0.0933015488084494,0.147320506272385,3,8
"BANKINDIA.NS",-0.342902613937789,0.555516620237309,-0.742910693866851,-0.794351196890198,4,7
"BEML.NS",-0.692793716591782,0.330403316496793,-2.30805897632829,-1.79421767846127,3,8
"BHARATFORG.NS",0.162824640406005,0.354103526834122,0.262714176784534,0.258996424890654,6,5
"BHARTIARTL.NS",-0.00150383322367609,0.366901130844721,-0.194331527179539,-0.222681132648421,5,6
"BOSCHLTD.NS",0.0800044286192966,0.235199607781234,0.0434006028254647,0.0674602487636594,4,7
"BPCL.NS",-0.252378519581172,0.265590686800152,-1.21305135853983,-1.14963418010272,4,7
"CADILAHC.NS",-0.159302619461517,0.282711448021784,-0.810364224448179,-0.624416372661945,6,5
"CESC.NS",0.0232339271596038,0.195121692752676,-0.238634136680509,-0.213720326609425,6,5
"CIPLA.NS",0.133092755880643,0.29742558121151,0.212813342300752,0.222451147514362,6,5
"COLPAL.NS",0.122936918513178,0.202269781184997,0.262719889963681,0.29451667150901,6,5
"CONCOR.NS",-0.0273367694146396,0.161150151771134,-0.602750864360756,-0.50925113159297,6,5
"CUMMINSIND.NS",-0.179101220912358,0.308348099007779,-0.807197597684416,-0.816936149423755,4,7
"DABUR.NS",0.513710991655243,0.212405887423392,2.08993438544905,1.33983533682478,10,1
"DCBBANK.NS",-0.0130850535460562,0.315604415278657,-0.262612540861178,-0.317374759963448,4,7
"DISHTV.NS",-0.0491886598507389,0.19444159528923,-0.611933282747591,-0.623745973720036,4,7
"DIVISLAB.NS",0.461093956162982,0.300303138443924,1.30300780182746,1.46456300790398,7,4
"DLF.NS",0.328738529754782,0.395949057486167,0.653977831242976,0.799648939987902,6,5
"DRREDDY.NS",0.0842835915247767,0.299142479976603,0.0484283197379108,0.0604702570444743,5,6
"EICHERMOT.NS",-0.111748834264683,0.210670963753399,-0.861748837559168,-0.678034180453528,6,5
"ASHOKLEY.NS",0.0715597943844307,0.365888519110234,0.00481887360510842,0.00406040900064669,7,4
"APOLLOTYRE.NS",0.0367631656357582,0.299547516703509,-0.110277857032667,-0.104745719641358,6,5
"ENGINERSIN.NS",-0.144634603709551,0.380940766379071,-0.562899134175233,-0.628308689746812,4,7
"EXIDEIND.NS",0.366443491068099,0.186296730587045,1.59233533662157,2.07719628701076,7,4
"FEDERALBNK.NS",-0.346043532028382,0.280625118419664,-1.48183511949129,-1.39480962373634,3,8
"GRANULES.NS",0.0291006282248419,0.56992241829628,-0.0714062025390973,-0.067032199942487,6,5
"HAVELLS.NS",0.45105813877016,0.272964229730227,1.39674533652152,2.72097457774206,5,6
"HEXAWARE.NS",0.545123386483931,0.298951803390639,1.5899779069255,1.99998918565588,8,3
"HINDPETRO.NS",-0.515798536335926,0.285642210397317,-2.05010022635893,-1.64589070120441,3,8
"HINDUNILVR.NS",0.469287036269464,0.146553718765441,2.72589747825895,3.66678407984284,9,2
"HINDZINC.NS",0.0415752240476819,0.221584965434894,-0.127361528135302,-0.115400520965587,6,5
"ICIL.NS",-0.239933928532368,0.565348230978452,-0.547858002232701,-0.592984719572255,4,7
"IDBI.NS",0.196810374897086,0.383316761583578,0.331354544776708,0.42556678790796,5,6
"BRITANNIA.NS",0.482871425945653,0.132668954270085,3.11357547333526,6.44025864802328,8,3
"IDEA.NS",-0.49166705561824,0.375421846550084,-1.49555409370833,-1.49693509806579,3,8
"INDUSINDBK.NS",0.140917272094944,0.144835392966085,0.491044673412937,0.550484705671623,6,5
