"Stock","Avg","Stdev","Sharpe","Sortino","Pos","Neg","Alpha","beta","alpha.monthly","beta.monthly"
"RCOM.NS",-0.457011294784973,0.755689045595024,-0.697122608449943,-0.72689648390222,25,35,-0.453152576201065,1.66956246897116,-0.709126088499948,3.16971284243887
"RELCAPITAL.NS",-0.0669702251475045,0.51236727524403,-0.266931272961653,-0.255580678282757,28,32,-0.196469446950127,1.86040916196724,-0.355979947822965,2.5680701427949
"SUNTV.NS",0.126603949497047,0.398546716385562,0.142536177828681,0.124635128569869,36,24,0.0665434378158043,1.17448547067363,0.294603658073495,1.61489199543255
"TCS.NS",0.149489644747567,0.221145594984776,0.36036449604965,0.462138815940078,29,31,0.109014464204102,0.526205955513598,-0.0585026770832543,0.997529263207234
"M&MFIN.NS",0.0886548364145536,0.346978746706791,0.0543497627340597,0.0474127639586213,34,26,0.00648107851407564,1.22821235796014,-0.127935147341902,2.12526348148599
"GAIL.NS",0.133717816396264,0.273026743824059,0.234120627319121,0.24033890427531,33,27,0.0609757645300241,0.989106324662678,0.360891592820625,0.741802370838014
"NIITTECH.NS",0.273386499756419,0.389815227461131,0.522272762983435,0.578798448834013,33,27,0.266430712600917,0.641125664373483,0.339414351355542,0.16031947279152
"OIL.NS",0.00678558304567617,0.229598016171314,-0.274440702329877,-0.274535452065521,30,30,-0.0328868183513754,0.707073536188874,0.184199371478999,0.129586069787233
"MRPL.NS",0.147117787724119,0.367360177129634,0.210477805381597,0.247191903147573,26,34,0.088696283220746,1.17447163524366,0.259619372137356,0.616817380763947
"PEL.NS",0.330256786583744,0.311428640557938,0.836339786410908,0.865956758592328,36,24,0.271488979096512,0.832031616114039,0.130047173813024,1.43619371734511
"PFC.NS",0.103282301460721,0.411674942371308,0.0813400917980583,0.100245765467436,28,32,0.00167721156338333,1.61677105579564,-0.0411994203276665,0.716508330065216
"MUTHOOTFIN.NS",0.314601813563647,0.323201208920062,0.757438966655958,0.79469267310128,36,24,0.265460740278769,0.987053773880323,-0.043945589425927,1.88303911348689
"PIDILITIND.NS",0.269267698346883,0.228539425227336,0.872808156803512,1.01409320130915,36,24,0.217053768120463,0.736203945341677,0.086987971874267,0.881863751506161
"ONGC.NS",-0.0181319668566589,0.259608477852623,-0.338696915606327,-0.32000488746502,29,31,-0.0909638336397564,1.097534730901,0.0267178277821513,0.730274221700641
"PNB.NS",-0.0727970401651609,0.551043556345873,-0.258770223116333,-0.248766639385182,28,32,-0.163040309823907,1.62019867530212,-0.413837624591372,3.55137145386583
"PVR.NS",0.167229181952359,0.335036812165896,0.290811500578738,0.330716151542098,29,31,0.13917379583793,0.773040605477785,-0.0652998515888675,1.27955428325067
