"Stock","Avg","Stdev","Sharpe","Sortino","Pos","Neg"
"UBL.NS",0.0989853431347203,0.274495990860512,0.107800444383557,0.121687588548211,10,10
"UPL.NS",0.278605203706877,0.358548975043135,0.583492534996802,1.04972691207533,10,9
"WIPRO.NS",0.0590637273162137,0.193851409924402,-0.0532924987559669,-0.0579446866708671,8,12
"BALKRISIND.NS",0.49111004655866,0.385147415610718,1.09494566528898,1.84845079334087,13,7
"CANFINHOME.NS",0.515608456711133,0.47382871944249,0.941719834748932,1.09956064402042,15,5
"IDFCBANK.NS",-0.0687434591106244,0.486773168716016,-0.283783128008986,-0.395262993797981,3,8
"KPIT.NS",0.1785409566798,0.528636552908458,0.20646775698889,0.190489642496774,11,9
"TATAPOWER.NS",0.0050163812001671,0.248643492592779,-0.258917583030101,-0.268093075023647,8,12
"GMRINFRA.NS",-0.00482044142101072,0.535955443333886,-0.138472322060603,-0.141538164699386,8,12
"LUPIN.NS",0.0169294769188089,0.318161663062983,-0.164900685753763,-0.163981651475999,10,10
"BEL.NS",0.259380982852274,0.393922191235755,0.482294305171853,0.597966202452579,13,7
"LICHSGFIN.NS",0.212848773005731,0.25806505010705,0.555883950995191,0.763967833805194,11,9
"ADANIPOWER.NS",0.0186387553795895,0.661765733436729,-0.0766975311569461,-0.0727761209592808,11,9
"TECHM.NS",0.184217751134547,0.313426693340674,0.366347858161813,0.37430662614783,12,8
"MCX.NS",0.165060277584227,0.336589139697297,0.284221066466402,0.343000624741002,10,10
"NBCC.NS",0.458758629329143,0.516362627532761,0.754051620372132,1.2920821244297,13,7
"PCJEWELLER.NS",0.126136771282137,0.667764428089057,0.0849734061247679,0.0723126143587429,12,8
"BERGEPAINT.NS",0.299145987939337,0.255941347022014,0.897672209958024,0.997761041980193,14,6
"NESTLEIND.NS",0.1698291359715,0.170787757199174,0.588066640607732,0.852640272595195,10,10
"VGUARD.NS",0.377362929507867,0.408232616570338,0.754394342021792,1.33258275518229,10,10
"NHPC.NS",0.0956142625112475,0.315372008495871,0.0831389865506673,0.0951984405162825,9,11
"SUZLON.NS",0.0175294614117512,0.765962350262108,-0.0677123254282057,-0.0838289280968861,7,13
