"Stock","Avg","Stdev","Sharpe","Sortino","Pos","Neg"
"CNX_NIFTY.NS",0.159567870894184,0.117786495061591,0.762152290803495,1.28533070876504,12,11
"NIFTY_BANK.NS",0.198684696135602,0.150972140638861,0.853720903293245,1.38675757385553,15,8
"NIFTY_IT.NS",0.214462103141365,0.170228424295454,0.84983151246822,1.61059195738525,12,11
"NIFTY_INFRA.NS",0.0771234202337847,0.14997403943298,0.0488537643195289,0.0763526237270846,11,12
"NIFTY_PSE.NS",0.0265938748781956,0.164655635025479,-0.262382450332764,-0.35938028258666,9,14
"NIFTY_CPSE.NS",0.0319193529338383,0.181500086970667,-0.208690097925746,-0.270686561438652,13,10
"NIFTY_MIDCAP_50.NS",0.1542160638816,0.187587914758492,0.450026005849083,0.697735206795219,13,10
"OFSS.NS",0.157567231619186,0.21276734132486,0.412519173362685,0.707890913184346,12,11
"ACC.NS",0.023603713746893,0.267179265519258,-0.172891073791262,-0.236698703245439,11,12
"ADANIENT.NS",0.645416452800657,0.555671480220936,1.03589953674518,2.14573255020736,15,8
"AJANTPHARM.NS",-0.234866566817279,0.353108314956365,-0.862803785043141,-0.970789323546452,9,14
"ALBK.NS",-0.307214710981,0.355444822719355,-1.06067471163014,-1.22850167384061,6,17
"AMARAJABAT.NS",-0.0876100070148373,0.226693855985312,-0.694357728346701,-0.911882775515167,9,14
"ANDHRABANK.NS",-0.265593466496144,0.328312807619901,-1.02155652344125,-1.24897741693725,8,15
"APOLLOHOSP.NS",-0.0518626046649277,0.312977665257104,-0.388715368626274,-0.510797683306585,12,11
"ARVIND.NS",0.0917075164443197,0.263844202529407,0.0830448134807868,0.125896982667585,14,9
"AUROPHARMA.NS",-0.0912110247268336,0.321683382030509,-0.500515903457025,-0.715717934346976,8,15
"AXISBANK.NS",0.0999221913377089,0.217660607055725,0.138406153910606,0.204935797408405,15,8
"BAJFINANCE.NS",0.521490359865783,0.300601812246143,1.50263144667485,3.01301753446731,17,6
"BANKBARODA.NS",-0.043322732259535,0.385471940720447,-0.293456784183547,-0.443438649961943,8,15
"BANKINDIA.NS",-0.0591094593305383,0.531643033044139,-0.242467360946521,-0.339657846320184,11,12
"BEML.NS",-0.0194189727868789,0.414999432341113,-0.214977635368969,-0.303377233548043,12,11
"BHARATFORG.NS",0.215467936364625,0.272421941710956,0.534726797674418,0.814084865206467,13,10
"BHARTIARTL.NS",0.112925938809473,0.292994336238644,0.147201872588643,0.229276118497712,14,9
"BOSCHLTD.NS",-0.0122653006798231,0.200869409273963,-0.408533707714439,-0.592574803980293,10,13
"BPCL.NS",-0.0207115114071985,0.284453037417055,-0.318183050834422,-0.424982490117797,11,12
"CADILAHC.NS",0.0282586050426199,0.306849109890979,-0.135369526831661,-0.194900153522113,12,11
"CESC.NS",0.267490760696808,0.238376887954209,0.829334330757373,1.54978474157486,13,10
"CIPLA.NS",0.0708768651120805,0.223451381401548,0.00483434583409936,0.00698143343277984,13,10
"COLPAL.NS",0.113435181591563,0.180673684779218,0.241532449994645,0.414801836097319,11,12
"CONCOR.NS",0.0977076063827832,0.246699369835513,0.113137632026035,0.173659986324182,12,11
"CUMMINSIND.NS",-0.0671654705082297,0.256128960147177,-0.534738806134247,-0.680285731722331,11,12
"DABUR.NS",0.310937581320978,0.177326899835643,1.35986676407925,2.89331516400552,15,8
"DCBBANK.NS",0.189394387882419,0.34217542590078,0.349521780268991,0.598564199100171,11,12
"DISHTV.NS",-0.137362266928989,0.253806716064067,-0.816207285602226,-1.01454329672124,8,15
"DIVISLAB.NS",0.0120416920694007,0.460130807971921,-0.125518506449153,-0.155828663542479,13,10
"DLF.NS",0.223741173169634,0.419038327695499,0.367375820152237,0.575214544126949,12,11
"DRREDDY.NS",-0.106334169303936,0.292135528925323,-0.602907814085966,-0.813453275115178,8,15
"EICHERMOT.NS",0.067702269707009,0.212268250761414,-0.00986654453860437,-0.0133688457332021,14,9
"ASHOKLEY.NS",0.269380876077574,0.344787065889155,0.578862352929618,0.918504213577825,14,9
"APOLLOTYRE.NS",0.0818460723746485,0.281814782526312,0.0427566233728186,0.0650694454536246,11,12
"ENGINERSIN.NS",0.0352795659383165,0.300931087685329,-0.114700871167736,-0.172050042194581,10,13
"EXIDEIND.NS",0.243118503083399,0.201513876179605,0.860098979345935,1.41799104198014,13,10
"FEDERALBNK.NS",0.072206233492626,0.321667868592555,0.00749098641990885,0.0109830872974984,12,11
"GRANULES.NS",0.00445935552067511,0.440804949835776,-0.1482226285366,-0.202593337986968,12,11
"HAVELLS.NS",0.294827477043712,0.296371550815341,0.759286282935582,1.44182271492926,11,12
"HEXAWARE.NS",0.45685918840115,0.246216846093606,1.57203932502945,3.69775429718463,16,7
"HINDPETRO.NS",-0.00139384898071267,0.355777087348063,-0.200098531832501,-0.288110616767927,12,11
"HINDUNILVR.NS",0.391143831341368,0.154221362037798,2.08367507093688,5.64635102998264,18,5
"HINDZINC.NS",0.194910901500806,0.26089933342791,0.479550008808659,0.731899471454674,14,9
"ICIL.NS",-0.312243114161737,0.503686650349319,-0.758486923872334,-0.948591560858843,9,14
"IDBI.NS",-0.0476805660466583,0.37158352607186,-0.316152847640554,-0.419550363988389,10,13
"BRITANNIA.NS",0.367288777104454,0.164478052296973,1.80870425623742,3.41852586328429,16,7
"IDEA.NS",-0.246143535075192,0.477871707964417,-0.66114012122265,-0.923916163210267,8,15
"INDUSINDBK.NS",0.247382560486317,0.174628712463575,1.0169343524541,1.87350014996729,15,8
"INFRATEL.NS",-0.0770708079611629,0.275455424765273,-0.533180393682909,-0.700140843964158,9,14
"INFY.NS",0.205585389307786,0.207578042871889,0.654157653535219,0.973960009142935,15,8
"BHEL.NS",-0.0461756385706157,0.355710392880009,-0.326030008538476,-0.425277622212693,10,13
"JETAIRWAYS.NS",-0.272393426277422,0.556226439947415,-0.615199180691681,-0.743177898339011,9,14
"CAPF.NS",-0.0382426172889643,0.342930625368747,-0.315046931227183,-0.423106524753096,12,11
"JINDALSTEL.NS",0.556672492404672,0.497460277926168,0.978723106450029,2.51164963231057,11,12
"CENTURYTEX.NS",0.0253596060112494,0.343836711545694,-0.129238723946216,-0.159341062895884,12,11
"ADANIPORTS.NS",0.213181695584543,0.28903403651762,0.496083691231719,0.845082186635854,12,11
"JSWENERGY.NS",0.00298465553103263,0.323524299935983,-0.20651298322712,-0.277783047061672,10,13
"JUSTDIAL.NS",0.135341784678814,0.472568146144046,0.138699913137092,0.270617080164016,9,14
"KOTAKBANK.NS",0.263976343216727,0.196472930155906,0.988328108128496,1.9747587337697,14,9
"KSCL.NS",0.307860104502366,0.299931661701557,0.793725741705686,1.26375335504443,14,9
"L&TFH.NS",0.35857453894649,0.358097701492457,0.806422140900825,1.36782504301483,14,9
"LT.NS",0.19427722752678,0.188972115869982,0.658724717646428,1.13110008164066,13,10
"MARICO.NS",0.167257408485785,0.162330539484334,0.600384776260249,0.979518455332227,13,10
"MARUTI.NS",0.269775654053718,0.20128311412087,0.993521145923613,1.74350569341063,13,10
"MCDOWELL-N.NS",-0.711870564918425,1.23429014654721,-0.633292901966633,-0.653674244027532,11,12
"MINDTREE.NS",0.456704297629062,0.400065433902181,0.967110979816332,2.18272029645116,13,10
"MRF.NS",0.196575770128186,0.217223528287067,0.583634504377283,1.04412116827544,12,11
"NMDC.NS",0.0648759331546508,0.317412300851819,-0.0155025205054184,-0.025303681032211,10,13
"ORIENTBANK.NS",-0.207506117721574,0.355407717621844,-0.780238379274317,-0.980204944194723,10,13
"COALINDIA.NS",0.00183673382007145,0.217777769898458,-0.312060730849132,-0.454677787359948,11,12
"PAGEIND.NS",0.435142555447864,0.306151695261746,1.19334936649046,1.80373263861947,17,6
"PETRONET.NS",0.194649383867696,0.191796805378154,0.650963710079804,1.25546764460494,11,12
"POWERGRID.NS",0.086172697979423,0.195826871782947,0.0836252653838843,0.130954579781802,10,13
"PTC.NS",0.0666874018185584,0.289264790411963,-0.0107487054829305,-0.0158892760633987,11,12
"RECLTD.NS",0.0551406131722409,0.332667866781971,-0.0440559854091429,-0.0644763315791126,12,11
"AMBUJACEM.NS",-0.0118705043481253,0.260102004798154,-0.313981156234376,-0.388169657050393,12,11
"RELIANCE.NS",0.453221519764779,0.283962949057963,1.35026381849991,3.6670848815153,12,11
"RPOWER.NS",-0.136940453096113,0.358328005248797,-0.576949258570644,-0.750862804028872,11,12
"SINTEX.NS",-0.890147019325384,1.14307874860439,-0.839787848697809,-0.878047743740927,7,16
"SYNDIBANK.NS",-0.311040343572259,0.397503719463147,-0.958071456397641,-1.21549219392059,7,16
"DHFL.NS",0.456207913681386,0.383211971460272,1.00834869106945,1.75467893372546,13,10
"TATACHEM.NS",0.219342604513966,0.229733184688913,0.650955067110531,1.12105555771502,13,10
"TATACOMM.NS",-0.0160058087086317,0.183769459357266,-0.466902568391963,-0.655571711951883,9,14
"TATAELXSI.NS",0.386703162225079,0.285221029471643,1.11109106840703,2.3226326647993,13,10
"EQUITAS.NS",-0.0506240232706986,0.284882318260122,-0.422703128307255,-0.531380386069223,9,14
"TATASTEEL.NS",0.265324355232611,0.253253949718609,0.772061922795613,1.26687650753517,14,9
"ASIANPAINT.NS",0.0958237193136794,0.208945317612235,0.124564147949479,0.187549315497278,12,11
"GODREJCP.NS",0.324429891292047,0.165163079982264,1.54170815573378,2.29547426999406,20,3
"GODREJIND.NS",0.21579054798948,0.228272974630366,0.639558512647431,1.06126297112336,13,10
"GRASIM.NS",0.0537871300325728,0.233879547186272,-0.0684518762641298,-0.0922142109736385,10,13
"HDFC.NS",0.182743871602525,0.187608163327112,0.602038022984708,1.09319083984301,12,11
"BAJAJFINSV.NS",0.4113366831737,0.317775012303143,1.07478576380514,2.16494088618478,13,10
"TITAN.NS",0.429595909433026,0.322007563220566,1.11736284072711,2.22691284318463,16,7
"TORNTPHARM.NS",0.0684598062785946,0.292563982841953,-0.00456931699417594,-0.00671296228767036,11,12
"HDFCBANK.NS",0.258094107453149,0.152471145071855,1.23497126952862,2.38555428384595,14,9
"TORNTPOWER.NS",0.214185825744862,0.333273928658779,0.433244815964636,0.683140761478253,13,10
"HEROMOTOCO.NS",0.00162412141234265,0.164525486472569,-0.41435830950302,-0.616086135303322,8,15
"TV18BRDCST.NS",0.0178636035804113,0.34438856651148,-0.150797748029001,-0.22282802778672,11,12
"HINDALCO.NS",0.233802981426313,0.328408677774188,0.499397149553412,0.86198697761013,12,11
"TVSMOTOR.NS",0.236453671959843,0.276833582339853,0.602011673200723,0.941285430385841,14,9
"ULTRACEMCO.NS",0.0809770042953489,0.232827596056626,0.0480199968879614,0.0707740319788634,13,10
"VOLTAS.NS",0.259238603885215,0.317464338551571,0.596734678585519,0.871224211344368,15,8
"BALRAMCHIN.NS",-0.171266114213058,0.440331398626664,-0.54745752590476,-0.611387611723612,12,11
"ICICIBANK.NS",0.214101785599127,0.252397332535983,0.571738061935642,0.946443927865874,13,10
"IGL.NS",0.329495471715886,0.260773869299325,0.995877572229126,1.93284663988909,14,9
"INDIANB.NS",0.255742748315538,0.369360260864798,0.503427531762343,0.896274877312615,12,11
"YESBANK.NS",0.172238532695559,0.320194042664472,0.319936960681147,0.574479627727071,11,12
"INDIGO.NS",0.0244614368115725,0.330737383998378,-0.137073065335511,-0.192470119165137,11,12
"ZEEL.NS",-0.0412919817614485,0.180503302821765,-0.615438077210253,-0.766473203780388,10,13
"BIOCON.NS",0.365242898928382,0.328017351344579,0.900703191035586,1.67826080826737,13,10
"INFIBEAM.NS",0.490853389251235,0.540954134405046,0.778359455292906,1.1977710334969,15,8
"CANBK.NS",-0.042021067856762,0.364651620416011,-0.306642519746583,-0.457041252330774,10,13
"BAJAJ_AUTO.NS",-0.0154966260808661,0.172770299581866,-0.493680048854281,-0.626708297661912,11,12
"BATAINDIA.NS",0.418884629836548,0.286489779404005,1.21850073222679,2.25640706169898,15,8
"IOC.NS",0.0848450593753721,0.311744031270213,0.0482717678884771,0.0755765070786281,11,12
"ITC.NS",0.164448237917351,0.210271774474399,0.450139417411903,0.705091744598134,12,11
"CASTROLIND.NS",-0.18933604405804,0.219169917843392,-1.18233683922116,-1.35182098040352,7,16
"JISLJALEQS.NS",-0.0219341858423384,0.419248830152113,-0.218798009922495,-0.279170559653645,12,11
"CEATLTD.NS",0.0374638912110533,0.296010928405653,-0.109228172150172,-0.147956259680692,12,11
"JSWSTEEL.NS",0.443975935744705,0.25917879769508,1.44371111840577,3.5806052806568,15,8
"JUBLFOOD.NS",0.610141430137736,0.347598061991723,1.55451041120398,3.75024352230224,15,8
"CHOLAFIN.NS",0.122183643515608,0.312026241930054,0.167892993019712,0.250704767304432,11,12
"GLENMARK.NS",-0.169085423590566,0.343015122328948,-0.696418413934412,-0.775267574965342,12,11
